product_id,product_name,category,brand,seller,seller_city,price,discount_percent,final_price,rating,review_count,stock_available,units_sold,listing_date,delivery_days,weight_g,warranty_months,color,size,return_policy_days,is_returnable,payment_modes,shipping_weight_g,product_score,seller_rating
FKP0000033,Puma Edition 235,Fashion,Puma,SmartDeals,Bengaluru,41008.91,10,36908.02,1.3,40765,624,3634,2022-07-06,7,1224.3,0,Green,XL,7,True,"CARD,Wallet",1357.8706080667323,62.5,3.8
FKP0000034,HP Prime 469,Electronics,HP,BestBuy,Kolkata,36460.39,20,29168.31,4.0,4083,316,1621,2021-11-20,1,4293.63,6,Green,L,30,True,"UPI,CARD",5019.608661520899,88.13,3.89
FKP0000035,Adidas Model 613,Sports,Adidas,BestBuy,Delhi,44660.33,15,37961.28,4.2,31989,278,2222,2018-12-03,7,1931.17,0,Green,One Size,10,True,"CARD,Wallet",2076.337799773226,80.61,4.67
FKP0000036,Adidas Edition 294,Beauty,Adidas,BestBuy,Kolkata,16209.11,5,15398.65,4.5,7575,926,4801,2019-08-24,5,4836.35,0,Gold,S,10,True,"CARD,Wallet",5299.64844945305,68.79,4.24
FKP0000037,Sony Ultra 838,Fashion,Sony,SmartDeals,Pune,21548.35,0,21548.35,2.0,43199,891,1055,2019-08-21,6,2308.53,24,Gold,XL,30,True,"COD,UPI,CARD",2674.168941233425,1.99,3.07
FKP0000038,LG Model 900,Mobiles,LG,MegaStore,Mumbai,29090.18,40,17454.11,1.7,14907,962,3990,2021-11-21,8,2484.1,6,Blue,One Size,7,True,"CARD,Wallet",3076.7910392627605,83.12,3.22
FKP0000039,Samsung Prime 16,Mobiles,Samsung,QuickShop,Hyderabad,24991.47,30,17494.03,1.3,32336,254,1862,2020-02-07,4,162.76,36,Red,M,30,True,"CARD,Wallet",194.17765402263726,33.83,4.99
FKP0000040,Sony Ultra 787,Home & Kitchen,Sony,ValueKart,Chennai,50921.14,15,43282.97,2.9,45592,164,1154,2020-02-11,3,992.42,6,Black,One Size,0,False,"COD,UPI,CARD",1142.3476702063006,24.05,3.34
FKP0000041,HP Model 835,Home & Kitchen,HP,MegaStore,Delhi,36584.41,5,34755.19,4.3,46507,358,368,2021-05-15,1,964.21,36,Gold,XL,15,True,"CARD,Wallet",1139.310732981755,10.51,4.54
FKP0000042,Philips Model 173,Toys,Philips,RetailHub,Kolkata,46418.78,50,23209.39,2.1,47777,575,594,2020-08-06,3,1379.95,0,Gold,One Size,15,True,"CARD,Wallet",1551.3575816599184,11.7,3.8
FKP0000043,Reebok Series 724,Electronics,Reebok,ValueKart,Chennai,17299.4,5,16434.43,2.2,48000,26,1012,2021-12-09,3,3564.62,0,Blue,L,15,True,"UPI,CARD",4162.269314877313,4.38,3.46
FKP0000044,Whirlpool Series 442,Appliances,Whirlpool,UrbanRetails,Delhi,49195.12,50,24597.56,1.7,41008,0,2818,2021-04-23,3,1172.47,0,Silver,L,10,True,"COD,UPI,CARD",1410.5570660301873,69.91,4.64
FKP0000045,Samsung Model 358,Fashion,Samsung,MegaStore,Delhi,56861.35,50,28430.68,3.2,43366,39,3286,2018-07-07,1,4318.88,36,White,S,30,True,"UPI,CARD",5191.259673882121,80.2,4.04
FKP0000046,Samsung Model 294,Fashion,Samsung,ValueKart,Kolkata,13931.13,30,9751.79,4.8,43069,614,1941,2020-11-11,5,1860.94,6,Silver,N/A,30,True,"COD,CARD",2239.1738673849427,81.39,3.03
FKP0000047,Apple Prime 169,Appliances,Apple,RetailHub,Bengaluru,6924.89,0,6924.89,4.1,1936,372,2098,2018-06-23,5,724.2,12,Green,One Size,15,True,"COD,UPI,CARD",780.2795605976348,34.59,3.99
FKP0000048,Nike Prime 230,Toys,Nike,RetailHub,Delhi,50199.75,40,30119.85,4.7,31385,478,4662,2019-08-24,2,3616.38,6,Grey,S,0,False,"COD,CARD",4089.773168070742,94.01,4.2
FKP0000049,Apple Prime 990,Sports,Apple,UrbanRetails,Delhi,38226.36,50,19113.18,2.8,3160,24,2261,2019-03-13,1,2664.97,36,Silver,L,10,True,"UPI,CARD",3273.1263288870773,41.96,3.35
FKP0000050,LG Ultra 791,Sports,LG,ValueKart,Ahmedabad,20479.4,30,14335.58,2.1,5359,891,2232,2019-04-17,8,3409.59,12,Silver,N/A,10,True,"COD,CARD",3720.9732139325743,69.56,3.51
FKP0000051,Puma Ultra 354,Toys,Puma,SmartDeals,Mumbai,58290.29,10,52461.26,4.3,9,346,3833,2022-04-04,3,3667.36,12,Green,XL,30,True,"COD,CARD",3955.1214902104957,88.39,4.51
FKP0000052,Boat Ultra 114,Sports,Boat,ValueKart,Delhi,33877.31,15,28795.71,3.5,42228,921,4299,2021-11-15,9,1630.01,12,Black,N/A,0,False,"UPI,CARD",1776.5693781983243,68.55,4.77
FKP0000053,Whirlpool Edition 104,Home & Kitchen,Whirlpool,QuickShop,Delhi,18514.12,40,11108.47,1.5,4535,715,2166,2023-01-10,5,1773.73,6,White,M,7,True,"CARD,Wallet",1873.91958401808,12.76,4.64
FKP0000054,Boat Ultra 399,Fashion,Boat,SuperMart,Bengaluru,52782.24,50,26391.12,1.4,11416,18,4767,2022-12-05,10,755.75,6,White,L,15,True,"COD,UPI,CARD",857.242227169051,32.94,3.37
FKP0000055,Nike Prime 109,Toys,Nike,UrbanRetails,Pune,32174.89,40,19304.93,2.7,39158,383,3279,2022-07-31,5,4918.1,36,Gold,One Size,0,False,"CARD,Wallet",5729.354925509162,26.48,4.92
FKP0000056,Boat Ultra 377,Fashion,Boat,MegaStore,Hyderabad,3811.16,15,3239.49,2.2,7719,755,183,2020-03-03,10,2210.75,0,Silver,XL,30,True,"CARD,Wallet",2629.6541707518554,31.49,4.58
FKP0000057,HP Prime 877,Appliances,HP,SmartDeals,Pune,15184.26,15,12906.62,3.6,37049,792,4793,2022-11-11,1,4274.1,24,Silver,M,7,True,"UPI,CARD",4735.680901688092,86.27,4.33
FKP0000058,Apple Prime 362,Mobiles,Apple,RetailHub,Bengaluru,25770.89,0,25770.89,2.3,31942,450,1608,2021-06-23,4,4955.66,36,Green,M,15,True,"UPI,CARD",5278.431456498243,28.42,4.51
FKP0000059,LG Series 628,Home & Kitchen,LG,RetailHub,Mumbai,22218.69,0,22218.69,4.5,2278,600,451,2023-06-21,9,79.61,12,White,M,10,True,"UPI,CARD",96.2919285735035,61.18,4.77
FKP0000060,Puma Prime 280,Beauty,Puma,MegaStore,Delhi,13359.65,50,6679.82,4.5,30308,37,3138,2020-07-13,6,1914.7,0,White,L,0,False,"COD,UPI,CARD",2119.1790423716106,26.02,3.31
FKP0000061,Samsung Model 836,Home & Kitchen,Samsung,SmartDeals,Ahmedabad,20132.58,50,10066.29,2.7,22915,988,4550,2019-11-04,5,2787.72,12,Silver,M,7,True,"COD,CARD",3035.968598548196,34.17,4.66
FKP0000062,Boat Model 54,Toys,Boat,ValueKart,Chennai,42054.51,40,25232.71,2.8,1048,851,2376,2020-07-27,6,3922.01,24,Black,L,30,True,"COD,CARD",4546.964010077507,92.04,3.77
FKP0000063,Reebok Model 757,Beauty,Reebok,QuickShop,Hyderabad,57112.09,10,51400.88,4.1,9904,403,2186,2019-11-12,3,269.34,6,Blue,N/A,10,True,"COD,CARD",331.0947447172468,31.58,3.34
FKP0000064,Whirlpool Ultra 480,Mobiles,Whirlpool,SmartDeals,Bengaluru,52510.3,50,26255.15,3.0,49032,553,3068,2022-10-01,1,3639.05,6,Silver,XL,0,False,"CARD,Wallet",4013.9086045366034,82.19,3.68
FKP0000065,Sony Prime 559,Toys,Sony,MegaStore,Mumbai,25200.19,5,23940.18,2.5,16394,367,2802,2022-06-11,4,2670.66,12,Red,XL,0,False,"CARD,Wallet",2925.044929972026,6.83,3.88
FKP0000066,Puma Edition 137,Electronics,Puma,ValueKart,Ahmedabad,38949.39,20,31159.51,2.6,1500,978,4061,2020-01-12,1,4407.87,12,Black,L,10,True,"UPI,CARD",4685.685586691378,53.7,4.03
FKP0000067,Redmi Prime 954,Fashion,Redmi,RetailHub,Pune,1178.29,0,1178.29,2.4,17003,908,3330,2019-06-23,10,4757.93,24,Silver,N/A,15,True,"CARD,Wallet",5898.7153079341515,12.81,4.08
FKP0000068,Sony Edition 397,Mobiles,Sony,ValueKart,Hyderabad,19694.53,50,9847.26,3.9,12306,264,2995,2020-03-16,11,2240.89,36,Green,One Size,30,True,"COD,CARD",2497.0441417338607,87.77,4.28
FKP0000069,Sony Ultra 90,Fashion,Sony,UrbanRetails,Mumbai,21609.81,30,15126.87,3.7,18542,134,3456,2022-05-28,8,2790.07,0,White,M,0,False,"COD,UPI,CARD",2955.32420436627,36.14,4.41
FKP0000070,Boat Series 575,Sports,Boat,UrbanRetails,Chennai,28485.76,0,28485.76,1.3,25535,456,4094,2018-02-04,1,2179.99,24,Silver,M,7,True,"COD,CARD",2535.0034377797037,54.23,4.93
FKP0000071,Apple Series 310,Electronics,Apple,SuperMart,Hyderabad,27564.12,50,13782.06,2.5,37657,645,4672,2020-02-27,11,370.63,24,Blue,XL,30,True,"CARD,Wallet",413.4103324116634,3.0,3.52
FKP0000072,Whirlpool Prime 859,Electronics,Whirlpool,QuickShop,Mumbai,31737.82,10,28564.04,1.2,48955,235,3624,2021-02-13,1,986.51,0,White,N/A,10,True,"UPI,CARD",1106.9255821909844,76.39,3.4
FKP0000073,Whirlpool Ultra 653,Mobiles,Whirlpool,BestBuy,Bengaluru,51375.85,20,41100.68,3.3,44529,128,1885,2019-01-26,8,3128.76,6,Silver,N/A,0,False,"COD,CARD",3819.6744895284637,15.79,3.34
FKP0000074,Prestige Prime 643,Electronics,Prestige,UrbanRetails,Hyderabad,53995.25,20,43196.2,3.6,40812,527,1177,2019-07-04,3,443.4,36,White,S,0,False,"COD,UPI,CARD",498.02769152601593,23.87,3.09
FKP0000075,Boat Edition 916,Beauty,Boat,SuperMart,Kolkata,13834.76,15,11759.55,2.5,47400,25,4883,2022-05-06,3,4554.45,24,Red,One Size,7,True,"COD,CARD",5385.263979477756,5.89,3.96
FKP0000076,Samsung Prime 892,Electronics,Samsung,SuperMart,Chennai,13786.25,15,11718.31,4.5,6085,226,566,2019-01-05,2,3907.65,0,Blue,XL,15,True,"COD,UPI,CARD",4233.030629066608,48.74,4.12
FKP0000077,Nike Series 380,Fashion,Nike,UrbanRetails,Bengaluru,41054.42,5,39001.7,3.7,33317,500,952,2020-05-05,1,3258.71,0,White,N/A,7,True,"COD,CARD",3645.105641069708,38.32,3.18
FKP0000078,Prestige Model 601,Fashion,Prestige,UrbanRetails,Delhi,53500.9,5,50825.86,3.4,27443,582,2273,2018-02-13,7,104.56,6,Gold,M,0,False,"COD,CARD",125.12182793200691,55.7,3.91
FKP0000079,Philips Ultra 206,Toys,Philips,ValueKart,Delhi,41294.67,0,41294.67,3.1,34497,664,1246,2020-02-03,9,1816.23,0,Red,N/A,10,True,"UPI,CARD",2250.3394163132652,16.54,4.82
FKP0000080,Reebok Edition 731,Fashion,Reebok,BestBuy,Hyderabad,46341.83,30,32439.28,3.3,39316,513,3916,2019-02-03,8,2741.21,12,Silver,XL,0,False,"CARD,Wallet",2946.9415903390523,62.23,3.58
FKP0000081,LG Model 81,Toys,LG,ValueKart,Mumbai,20627.65,5,19596.27,2.1,448,143,1292,2019-04-28,7,1553.15,36,Gold,M,7,True,"CARD,Wallet",1789.8955442052968,71.4,3.0
FKP0000082,Redmi Series 56,Fashion,Redmi,UrbanRetails,Delhi,44750.85,15,38038.22,2.2,23643,48,4142,2022-11-19,2,993.01,0,Blue,XL,30,True,"UPI,CARD",1043.2110770479028,4.79,4.62
FKP0000083,Boat Series 687,Beauty,Boat,SmartDeals,Delhi,40548.14,10,36493.33,3.7,18847,417,2991,2020-12-10,8,4703.84,12,Blue,One Size,7,True,"UPI,CARD",5750.790610109812,3.31,3.4
FKP0000084,Prestige Prime 243,Appliances,Prestige,BestBuy,Ahmedabad,43658.27,15,37109.53,3.5,18907,976,1814,2021-01-24,3,1318.57,12,Blue,XL,7,True,"UPI,CARD",1485.2641475192293,30.39,4.51
FKP0000085,Adidas Ultra 801,Toys,Adidas,SmartDeals,Bengaluru,11184.1,10,10065.69,1.4,10080,248,4205,2018-11-19,10,4684.28,6,Black,XL,0,False,"COD,UPI,CARD",5807.107814830217,38.45,3.6
FKP0000086,Prestige Prime 306,Home & Kitchen,Prestige,UrbanRetails,Delhi,17188.48,15,14610.21,2.2,37857,593,612,2022-07-23,6,503.98,12,Black,M,0,False,"COD,CARD",538.8703995177115,31.79,3.55
FKP0000087,Adidas Ultra 91,Sports,Adidas,BestBuy,Mumbai,48844.87,5,46402.63,1.9,43972,353,2549,2021-07-13,4,4291.71,12,Black,XL,30,True,"COD,UPI,CARD",5089.965360215408,92.12,3.59
FKP0000088,Redmi Ultra 885,Mobiles,Redmi,MegaStore,Bengaluru,7025.08,30,4917.56,2.0,16478,775,3800,2019-09-28,11,1577.26,0,Green,One Size,7,True,"UPI,CARD",1745.155791633248,66.32,4.28
FKP0000089,Adidas Series 248,Fashion,Adidas,SmartDeals,Chennai,16959.44,40,10175.66,4.8,14475,804,1715,2021-05-30,3,847.73,24,Green,XL,0,False,"COD,CARD",972.7833422207751,78.73,3.77
FKP0000090,Adidas Model 897,Electronics,Adidas,UrbanRetails,Delhi,27608.62,0,27608.62,3.7,38045,612,3475,2021-12-13,7,3215.4,36,Silver,S,10,True,"UPI,CARD",3950.356002014503,42.57,4.18
FKP0000091,LG Prime 113,Appliances,LG,RetailHub,Mumbai,22346.29,5,21228.98,2.6,31549,628,4977,2021-04-20,8,4817.64,6,Grey,One Size,30,True,"COD,CARD",5961.108265513091,99.64,4.89
FKP0000092,Reebok Ultra 399,Fashion,Reebok,QuickShop,Mumbai,56162.95,30,39314.06,1.4,23923,467,4049,2023-05-05,11,3351.95,36,Blue,One Size,30,True,"UPI,CARD",3789.347430174965,17.91,4.28
FKP0000093,Philips Series 294,Electronics,Philips,UrbanRetails,Hyderabad,20771.19,10,18694.07,2.4,37914,403,1761,2020-06-10,2,2825.36,12,Gold,S,0,False,"COD,CARD",3061.164287568313,77.42,3.76
FKP0000094,Samsung Edition 474,Sports,Samsung,BestBuy,Pune,23322.95,20,18658.36,3.7,40822,33,257,2021-04-20,6,4945.31,0,Blue,One Size,0,False,"COD,CARD",5553.049740584435,32.93,4.55
FKP0000095,Redmi Series 660,Sports,Redmi,BestBuy,Chennai,10658.41,10,9592.57,1.0,34962,951,801,2020-03-30,11,2976.25,36,Red,S,0,False,"UPI,CARD",3337.6647917424357,81.07,4.27
FKP0000096,Adidas Prime 864,Sports,Adidas,SuperMart,Chennai,55662.82,0,55662.82,4.7,42775,0,3272,2020-02-12,7,2416.3,6,Grey,L,10,True,"CARD,Wallet",2671.6190562024617,64.83,3.96
FKP0000097,Nike Edition 383,Electronics,Nike,ValueKart,Mumbai,59241.73,40,35545.04,3.7,45031,86,1224,2022-01-26,2,2407.8,24,Red,L,10,True,"COD,UPI,CARD",2692.332559955854,56.0,3.2
FKP0000098,Sony Model 176,Fashion,Sony,RetailHub,Chennai,13339.63,5,12672.65,4.1,21613,71,1402,2018-04-13,5,952.55,0,Blue,One Size,15,True,"COD,UPI,CARD",1107.0453516460705,47.97,3.45
FKP0000099,Whirlpool Series 389,Sports,Whirlpool,MegaStore,Pune,37834.89,40,22700.93,3.9,39744,67,4462,2021-01-24,8,3539.59,24,Silver,M,7,True,"CARD,Wallet",3956.773904686784,55.44,4.16
FKP0000100,Dell Prime 373,Beauty,Dell,BestBuy,Kolkata,56686.07,40,34011.64,4.8,42257,445,1086,2021-12-13,8,4389.35,0,White,S,30,True,"UPI,CARD",4753.14620368465,57.56,3.56
FKP0000101,HP Ultra 224,Toys,HP,ValueKart,Pune,23014.16,15,19562.04,3.8,29339,467,1790,2022-05-20,6,2309.26,12,Silver,One Size,0,False,"UPI,CARD",2528.385801130342,34.91,3.7
FKP0000102,Nike Prime 696,Electronics,Nike,MegaStore,Hyderabad,10293.42,10,9264.08,1.4,40135,309,3765,2022-10-17,9,2583.57,12,Grey,M,30,True,"COD,UPI,CARD",3200.2809532468164,93.69,3.96
FKP0000103,Samsung Series 283,Electronics,Samsung,UrbanRetails,Ahmedabad,13962.88,50,6981.44,2.2,11823,782,1921,2023-04-04,2,3895.92,6,Blue,One Size,30,True,"CARD,Wallet",4637.403938817636,40.31,3.86
FKP0000104,Dell Prime 728,Fashion,Dell,SmartDeals,Pune,54001.8,10,48601.62,2.2,15465,117,2947,2022-01-26,3,1514.98,24,Gold,L,30,True,"COD,CARD",1798.872913897114,16.73,4.57
FKP0000105,Samsung Series 969,Electronics,Samsung,BestBuy,Ahmedabad,17275.2,5,16411.44,1.7,25936,376,4329,2022-07-23,4,4830.73,6,Silver,N/A,30,True,"UPI,CARD",5560.834307970894,25.16,3.44
FKP0000106,Nike Model 709,Electronics,Nike,SmartDeals,Kolkata,47783.91,30,33448.74,2.3,36031,540,4650,2021-11-04,11,230.6,0,Grey,S,0,False,"COD,UPI,CARD",283.1701760176541,16.68,3.08
FKP0000107,Boat Model 673,Sports,Boat,UrbanRetails,Hyderabad,24533.17,20,19626.54,3.1,31879,69,3104,2018-08-25,3,2180.38,12,White,XL,10,True,"CARD,Wallet",2674.043967202804,77.56,4.97
FKP0000108,Philips Series 83,Fashion,Philips,SmartDeals,Chennai,48386.01,5,45966.71,1.6,11417,223,3884,2020-11-18,2,1578.4,36,Gold,M,7,True,"COD,UPI,CARD",1800.4624215016215,83.5,4.01
FKP0000109,Reebok Edition 633,Sports,Reebok,ValueKart,Hyderabad,22619.69,0,22619.69,1.2,15590,438,4788,2020-08-12,5,554.71,36,Red,S,7,True,"COD,UPI,CARD",619.2214237364927,13.21,4.47
FKP0000110,HP Model 660,Toys,HP,BestBuy,Pune,48121.17,15,40902.99,1.2,16250,699,4154,2022-04-01,5,3011.86,24,Silver,S,7,True,"COD,UPI,CARD",3701.5429317605335,94.67,4.16
FKP0000111,HP Ultra 185,Appliances,HP,SmartDeals,Chennai,6587.57,20,5270.06,1.6,5802,484,346,2019-10-18,11,2011.72,24,Black,One Size,0,False,"CARD,Wallet",2410.335651836067,89.77,4.74
FKP0000112,Whirlpool Prime 556,Toys,Whirlpool,BestBuy,Pune,30854.29,5,29311.58,4.9,24309,969,1889,2020-11-25,1,667.12,24,White,N/A,15,True,"UPI,CARD",811.4366298441741,94.42,4.9
FKP0000113,Puma Edition 756,Appliances,Puma,QuickShop,Chennai,29680.69,40,17808.41,1.6,42542,391,3896,2021-02-12,6,3874.06,24,Grey,XL,7,True,"UPI,CARD",4717.035252141012,48.74,4.26
FKP0000114,Nike Prime 260,Sports,Nike,SuperMart,Ahmedabad,40251.18,20,32200.94,3.4,30999,759,718,2018-03-16,4,3951.11,36,Red,XL,30,True,"UPI,CARD",4520.49849488493,26.53,3.59
FKP0000115,Nike Ultra 177,Toys,Nike,MegaStore,Bengaluru,22511.85,5,21386.26,4.8,28562,639,1287,2019-08-14,5,1115.54,6,Grey,M,10,True,"UPI,CARD",1253.6642071395522,26.85,3.03
FKP0000116,Whirlpool Edition 483,Fashion,Whirlpool,MegaStore,Kolkata,8385.44,30,5869.81,4.4,28361,457,2144,2018-08-10,5,4509.76,6,White,S,7,True,"COD,UPI,CARD",5274.471798446427,82.67,3.34
FKP0000117,Apple Model 398,Mobiles,Apple,MegaStore,Mumbai,14923.79,20,11939.03,1.8,17535,289,4539,2019-08-16,3,3987.67,12,Gold,L,10,True,"COD,CARD",4695.029088341231,64.33,3.01
FKP0000118,Sony Series 286,Sports,Sony,ValueKart,Delhi,41370.31,20,33096.25,4.2,3208,485,1005,2021-08-02,10,3443.72,36,Red,N/A,15,True,"COD,CARD",3993.6158396438473,36.06,4.31
FKP0000119,Boat Edition 957,Appliances,Boat,MegaStore,Hyderabad,54899.71,0,54899.71,2.7,2654,577,3933,2018-02-10,3,820.15,24,Grey,XL,0,False,"UPI,CARD",876.1444649740523,22.6,4.15
FKP0000120,Redmi Edition 665,Beauty,Redmi,ValueKart,Kolkata,34521.61,40,20712.97,1.3,23468,357,1157,2019-01-31,3,2611.76,6,Red,L,30,True,"CARD,Wallet",2825.7493068654358,96.77,4.33
